response,age,income,response_pt_2,age_range,trigrams
Horribly not able to pay my stuff,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Horribly not able to pay my stuff,18-24,"[('horribly', 'able', 'pay'), ('able', 'pay', 'stuff')]"
I've since lost my home and I have to live with my daughter now,54.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I've since lost my home and I have to live with my daughter now ,45-54,"[('since', 'lost', 'home'), ('lost', 'home', 'live'), ('home', 'live', 'daughter')]"
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,"[('lam', 'currently', 'employed'), ('currently', 'employed', 'partner'), ('employed', 'partner', 'stays'), ('partner', 'stays', 'home'), ('stays', 'home', '3'), ('home', '3', 'year'), ('3', 'year', 'old'), ('year', 'old', 'daughter'), ('old', 'daughter', 'half'), ('daughter', 'half', 'income'), ('half', 'income', 'used'), ('income', 'used', 'extra'), ('used', 'extra', '600'), ('extra', '600', 'unemployment'), ('600', 'unemployment', 'ended')]"
Struggling to pay all the bills,34.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Struggling to pay all the bills,25-34,"[('struggling', 'pay', 'bills')]"
Made it harder to spend money,44.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Made it harder to spend money,35-44,"[('made', 'harder', 'spend'), ('harder', 'spend', 'money')]"
Less food and high bills to pay,43.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Less food and high bills to pay,35-44,"[('less', 'food', 'high'), ('food', 'high', 'bills'), ('high', 'bills', 'pay')]"
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,"[('paying', 'bills', 'difficult'), ('bills', 'difficult', 'make'), ('difficult', 'make', 'ends'), ('make', 'ends', 'meet')]"
I can not pay my bills,34.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I can not pay my bills,25-34,[]
we are struggling to purchase groceries as the prices have risen,63.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  we are struggling to purchase groceries as the prices have risen ,55-64,"[('struggling', 'purchase', 'groceries'), ('purchase', 'groceries', 'prices'), ('groceries', 'prices', 'risen')]"
a lot. Cut hours loss in wages it adds up,36.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up,35-44,"[('lot', 'cut', 'hours'), ('cut', 'hours', 'loss'), ('hours', 'loss', 'wages'), ('loss', 'wages', 'adds')]"
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,"[('less', 'spending', 'canceled'), ('spending', 'canceled', 'vacation'), ('canceled', 'vacation', 'going'), ('vacation', 'going', 'eat'), ('going', 'eat', 'less'), ('eat', 'less', 'stress'), ('less', 'stress', 'every'), ('stress', 'every', 'day'), ('every', 'day', 'life')]"
Broke,23.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  Broke,18-24,[]
Terribly miserable,25.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Terribly miserable,25-34,[]
Going into greater debt. Fear of homelessness.,33.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Going into greater debt. Fear of homelessness. ,25-34,"[('going', 'greater', 'debt'), ('greater', 'debt', 'fear'), ('debt', 'fear', 'homelessness')]"
It will be very difficult for my family to recover from this without some assistance.,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance. ,45-54,"[('difficult', 'family', 'recover'), ('family', 'recover', 'without'), ('recover', 'without', 'assistance')]"
late on paying bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  late on paying bills,25-34,"[('late', 'paying', 'bills')]"
Hurts very bad,35.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Hurts very bad,35-44,[]
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,"[('always', 'challenge', 'meet'), ('challenge', 'meet', 'monthly'), ('meet', 'monthly', 'bills')]"
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,"[('less', 'spending', 'canceled'), ('spending', 'canceled', 'vacation'), ('canceled', 'vacation', 'going'), ('vacation', 'going', 'eat'), ('going', 'eat', 'less'), ('eat', 'less', 'stress'), ('less', 'stress', 'every'), ('stress', 'every', 'day'), ('every', 'day', 'life')]"
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,"[('ade', 'harder', 'able'), ('harder', 'able', 'eat'), ('able', 'eat', 'right')]"
I have a significant loss in income,40.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  I have a significant loss in income,35-44,"[('significant', 'loss', 'income')]"
My financial situation is not good and i live one disability check to the next monthi check each & every montb not knowing if ill have enough money for bills & food. J pray we get another stimulus check ; especially since i spent what little i had on extra food and supplies due to the corona virus.,62.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  My financial situation is not good and i live one disability check to the next monthi check each & every montb not knowing if ill have enough money for bills & food. J pray we get another stimulus check ; especially since i spent what little i had on extra food and supplies due to the corona virus.           ,55-64,"[('financial', 'situation', 'good'), ('situation', 'good', 'live'), ('good', 'live', 'one'), ('live', 'one', 'disability'), ('one', 'disability', 'check'), ('disability', 'check', 'next'), ('check', 'next', 'monthi'), ('next', 'monthi', 'check'), ('monthi', 'check', 'every'), ('check', 'every', 'montb'), ('every', 'montb', 'knowing'), ('montb', 'knowing', 'ill'), ('knowing', 'ill', 'enough'), ('ill', 'enough', 'money'), ('enough', 'money', 'bills'), ('money', 'bills', 'food'), ('bills', 'food', 'j'), ('food', 'j', 'pray'), ('j', 'pray', 'get'), ('pray', 'get', 'another'), ('get', 'another', 'stimulus'), ('another', 'stimulus', 'check'), ('stimulus', 'check', 'especially'), ('check', 'especially', 'since'), ('especially', 'since', 'spent'), ('since', 'spent', 'little'), ('spent', 'little', 'extra'), ('little', 'extra', 'food'), ('extra', 'food', 'supplies'), ('food', 'supplies', 'due'), ('supplies', 'due', 'corona'), ('due', 'corona', 'virus')]"
I have had to eliminate all non-essential spending to hopefully stretch my current savings long enough to find a new job.,43.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I have had to eliminate all non-essential spending to hopefully stretch my current savings long enough to find a new job. ,35-44,"[('eliminate', 'spending', 'hopefully'), ('spending', 'hopefully', 'stretch'), ('hopefully', 'stretch', 'current'), ('stretch', 'current', 'savings'), ('current', 'savings', 'long'), ('savings', 'long', 'enough'), ('long', 'enough', 'find'), ('enough', 'find', 'new'), ('find', 'new', 'job')]"
I can not pay my bills,34.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I can not pay my bills,25-34,[]
Less money,53.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Less money,45-54,[]
We cant fix our house or car,27.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We cant fix our house or car,25-34,"[('cant', 'fix', 'house'), ('fix', 'house', 'car')]"
My bills are going unpaid,33.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  My bills are going unpaid,25-34,"[('bills', 'going', 'unpaid')]"
It’s making things pretty tight. Hopefully there will be some relief,69.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  It’s making things pretty tight. Hopefully there will be some relief ,65+,"[('making', 'things', 'pretty'), ('things', 'pretty', 'tight'), ('pretty', 'tight', 'hopefully'), ('tight', 'hopefully', 'relief')]"
stress with bill payments,55.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  stress with bill payments,55-64,"[('stress', 'bill', 'payments')]"
Very difficult,56.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Very difficult,55-64,[]
it forces me to go out to buy food & household goods more often because | don't have enough money at one time,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time ,55-64,"[('forces', 'go', 'buy'), ('go', 'buy', 'food'), ('buy', 'food', 'household'), ('food', 'household', 'goods'), ('household', 'goods', 'often'), ('goods', 'often', 'enough'), ('often', 'enough', 'money'), ('enough', 'money', 'one'), ('money', 'one', 'time')]"
Very difficult,56.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Very difficult,55-64,[]
1am depleting my savings.,51.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1am depleting my savings.,45-54,"[('1am', 'depleting', 'savings')]"
it's been a budgeting nightmare & struggling to make ends meet & job hours have been substantially cut,55.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it's been a budgeting nightmare & struggling to make ends meet & job hours have been substantially cut ,55-64,"[('budgeting', 'nightmare', 'struggling'), ('nightmare', 'struggling', 'make'), ('struggling', 'make', 'ends'), ('make', 'ends', 'meet'), ('ends', 'meet', 'job'), ('meet', 'job', 'hours'), ('job', 'hours', 'substantially'), ('hours', 'substantially', 'cut')]"
"We are on disability and are having a hard time making ends meet. We have to choose between food and medication. We had paid for strawberry money into our morgagate escrow account to have money for our taxes and they took that money out and paid it on something else. We are struggling to buy food, medication and pay bills. We are hoping an extra stimulus check can help get us on our feet.",51.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?     We are on disability and are having a hard time making ends meet. We have to choose between food and medication. We had paid for strawberry money into our morgagate escrow account to have money for our taxes and they took that money out and paid it on something else. We are struggling to buy food, medication and pay bills. We are hoping an extra stimulus check can help get us on our feet. ",45-54,"[('disability', 'hard', 'time'), ('hard', 'time', 'making'), ('time', 'making', 'ends'), ('making', 'ends', 'meet'), ('ends', 'meet', 'choose'), ('meet', 'choose', 'food'), ('choose', 'food', 'medication'), ('food', 'medication', 'paid'), ('medication', 'paid', 'strawberry'), ('paid', 'strawberry', 'money'), ('strawberry', 'money', 'morgagate'), ('money', 'morgagate', 'escrow'), ('morgagate', 'escrow', 'account'), ('escrow', 'account', 'money'), ('account', 'money', 'taxes'), ('money', 'taxes', 'took'), ('taxes', 'took', 'money'), ('took', 'money', 'paid'), ('money', 'paid', 'something'), ('paid', 'something', 'else'), ('something', 'else', 'struggling'), ('else', 'struggling', 'buy'), ('struggling', 'buy', 'food'), ('buy', 'food', 'medication'), ('food', 'medication', 'pay'), ('medication', 'pay', 'bills'), ('pay', 'bills', 'hoping'), ('bills', 'hoping', 'extra'), ('hoping', 'extra', 'stimulus'), ('extra', 'stimulus', 'check'), ('stimulus', 'check', 'help'), ('check', 'help', 'get'), ('help', 'get', 'us'), ('get', 'us', 'feet')]"
It has been very tight for us,35.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  It has been very tight for us,35-44,[]
It will be very difficult for my family to recover from this without some assistance.,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance. ,45-54,"[('difficult', 'family', 'recover'), ('family', 'recover', 'without'), ('recover', 'without', 'assistance')]"
Hurts when shopping for groceries as prises are high,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Hurts when shopping for groceries as prises are high ,55-64,"[('hurts', 'shopping', 'groceries'), ('shopping', 'groceries', 'prises'), ('groceries', 'prises', 'high')]"
Negatively as my bills and cost of living have increased during the pandemic.,58.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  Negatively as my bills and cost of living have increased during the pandemic.    ,55-64,"[('negatively', 'bills', 'cost'), ('bills', 'cost', 'living'), ('cost', 'living', 'increased'), ('living', 'increased', 'pandemic')]"
stressful,42.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  stressful,35-44,[]
It has made me anxious.,65.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made me anxious.,65+,[]
Hurts very bad,35.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Hurts very bad,35-44,[]
I haven't qualified for unemployment but still lost my job so I've been relying on gig work from home and the first stimulus payment to pay the bills and now I'm sitting here watching our elected officials bicker about how much money to give people like me but not actually helping us. They can fight over how much money the people should get but we're not getting anything the whole time they're bickering. Other countries are giving their citizens thousands a month and we can't even get a second stimulus payment. Our country looks like a joke to the rest of the world.,28.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?     I haven't qualified for unemployment but still lost my job so I've been relying on gig work from home and the first stimulus payment to pay the bills and now I'm sitting here watching our elected officials bicker about how much money to give people like me but not actually helping us. They can fight over how much money the people should get but we're not getting anything the whole time they're bickering. Other countries are giving their citizens thousands a month and we can't even get a second stimulus payment. Our country looks like a joke to the rest of the world.    ,25-34,"[('qualified', 'unemployment', 'still'), ('unemployment', 'still', 'lost'), ('still', 'lost', 'job'), ('lost', 'job', 'relying'), ('job', 'relying', 'gig'), ('relying', 'gig', 'work'), ('gig', 'work', 'home'), ('work', 'home', 'first'), ('home', 'first', 'stimulus'), ('first', 'stimulus', 'payment'), ('stimulus', 'payment', 'pay'), ('payment', 'pay', 'bills'), ('pay', 'bills', 'sitting'), ('bills', 'sitting', 'watching'), ('sitting', 'watching', 'elected'), ('watching', 'elected', 'officials'), ('elected', 'officials', 'bicker'), ('officials', 'bicker', 'much'), ('bicker', 'much', 'money'), ('much', 'money', 'give'), ('money', 'give', 'people'), ('give', 'people', 'like'), ('people', 'like', 'actually'), ('like', 'actually', 'helping'), ('actually', 'helping', 'us'), ('helping', 'us', 'fight'), ('us', 'fight', 'much'), ('fight', 'much', 'money'), ('much', 'money', 'people'), ('money', 'people', 'get'), ('people', 'get', 'getting'), ('get', 'getting', 'anything'), ('getting', 'anything', 'whole'), ('anything', 'whole', 'time'), ('whole', 'time', 'bickering'), ('time', 'bickering', 'countries'), ('bickering', 'countries', 'giving'), ('countries', 'giving', 'citizens'), ('giving', 'citizens', 'thousands'), ('citizens', 'thousands', 'month'), ('thousands', 'month', 'ca'), ('month', 'ca', 'even'), ('ca', 'even', 'get'), ('even', 'get', 'second'), ('get', 'second', 'stimulus'), ('second', 'stimulus', 'payment'), ('stimulus', 'payment', 'country'), ('payment', 'country', 'looks'), ('country', 'looks', 'like'), ('looks', 'like', 'joke'), ('like', 'joke', 'rest'), ('joke', 'rest', 'world')]"
Its hurt my financials,44.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Its hurt my financials,35-44,[]
1 am not beyond wondering why Im still alive.,48.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1 am not beyond wondering why Im still alive. ,45-54,"[('beyond', 'wondering', 'im'), ('wondering', 'im', 'still'), ('im', 'still', 'alive')]"
stress with bill payments,55.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  stress with bill payments,55-64,"[('stress', 'bill', 'payments')]"
Broke af,31.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Broke af,25-34,[]
I’m super behind on bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  I’m super behind on bills,25-34,"[('super', 'behind', 'bills')]"
Im struggling to pay my bills,40.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Im struggling to pay my bills,35-44,"[('im', 'struggling', 'pay'), ('struggling', 'pay', 'bills')]"
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,"[('trouble', 'trying', 'get'), ('trying', 'get', 'ends'), ('get', 'ends', 'meet')]"
Could use it because husband had heart attack and isn't working,65.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Could use it because husband had heart attack and isn't working ,65+,"[('could', 'use', 'husband'), ('use', 'husband', 'heart'), ('husband', 'heart', 'attack'), ('heart', 'attack', 'working')]"
It has been very tight for us,35.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  It has been very tight for us,35-44,[]
Im spending alot less and eating cheaper food,25.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Im spending alot less and eating cheaper food ,25-34,"[('im', 'spending', 'alot'), ('spending', 'alot', 'less'), ('alot', 'less', 'eating'), ('less', 'eating', 'cheaper'), ('eating', 'cheaper', 'food')]"
I'm going to be evicted,39.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  I'm going to be evicted,35-44,[]
The budget is just tight,44.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  The budget is just tight,35-44,[]
"Food is difficult to purchase, too expensive or can't find",58.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find ",55-64,"[('food', 'difficult', 'purchase'), ('difficult', 'purchase', 'expensive'), ('purchase', 'expensive', 'ca'), ('expensive', 'ca', 'find')]"
"I'm fine, and hoping for the second one",42.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  I'm fine, and hoping for the second one",35-44,"[('fine', 'hoping', 'second'), ('hoping', 'second', 'one')]"
It has made have to rely on a Food Pantry,62.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made have to rely on a Food Pantry,55-64,"[('made', 'rely', 'food'), ('rely', 'food', 'pantry')]"
1 am not beyond wondering why Im still alive.,48.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1 am not beyond wondering why Im still alive. ,45-54,"[('beyond', 'wondering', 'im'), ('wondering', 'im', 'still'), ('im', 'still', 'alive')]"
I have no money left to pay some essential bills,32.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I have no money left to pay some essential bills ,25-34,"[('money', 'left', 'pay'), ('left', 'pay', 'essential'), ('pay', 'essential', 'bills')]"
It is terrible we’re running out of food,23.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It is terrible we’re running out of food,18-24,"[('terrible', 'running', 'food')]"
1 Became Homeless,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1 Became Homeless,25-34,[]
"Food is difficult to purchase, too expensive or can't find",58.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find ",55-64,"[('food', 'difficult', 'purchase'), ('difficult', 'purchase', 'expensive'), ('purchase', 'expensive', 'ca'), ('expensive', 'ca', 'find')]"
stressful,42.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  stressful,35-44,[]
"very hard, it makes paying bills and buying grocerys difficult as well as trying to get things fixed that break down",66.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  very hard, it makes paying bills and buying grocerys difficult as well as trying to get things fixed that break down     ",65+,"[('hard', 'makes', 'paying'), ('makes', 'paying', 'bills'), ('paying', 'bills', 'buying'), ('bills', 'buying', 'grocerys'), ('buying', 'grocerys', 'difficult'), ('grocerys', 'difficult', 'well'), ('difficult', 'well', 'trying'), ('well', 'trying', 'get'), ('trying', 'get', 'things'), ('get', 'things', 'fixed'), ('things', 'fixed', 'break')]"
Can't pay my bills,51.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't pay my bills,45-54,"[('ca', 'pay', 'bills')]"
It has been rough and I want everything back to normal,22.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has been rough and I want everything back to normal ,18-24,"[('rough', 'want', 'everything'), ('want', 'everything', 'back'), ('everything', 'back', 'normal')]"
Debt got higher,67.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Debt got higher,65+,"[('debt', 'got', 'higher')]"
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,"[('always', 'challenge', 'meet'), ('challenge', 'meet', 'monthly'), ('meet', 'monthly', 'bills')]"
And made me fall super behind on my bills and put things like getting a new apartment on hold,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  And made me fall super behind on my bills and put things like getting a new apartment on hold ,25-34,"[('made', 'fall', 'super'), ('fall', 'super', 'behind'), ('super', 'behind', 'bills'), ('behind', 'bills', 'put'), ('bills', 'put', 'things'), ('put', 'things', 'like'), ('things', 'like', 'getting'), ('like', 'getting', 'new'), ('getting', 'new', 'apartment'), ('new', 'apartment', 'hold')]"
It’s hard to get a job so it affects me a lot more,27.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It’s hard to get a job so it affects me a lot more ,25-34,"[('hard', 'get', 'job'), ('get', 'job', 'affects'), ('job', 'affects', 'lot')]"
Fear of coming down with virus.,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Fear of coming down with virus.,55-64,"[('fear', 'coming', 'virus')]"
"Greatly, I can barely afford my bills",27.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Greatly, I can barely afford my bills",25-34,"[('greatly', 'barely', 'afford'), ('barely', 'afford', 'bills')]"
It has made me tighten my budget,42.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  It has made me tighten my budget,35-44,"[('made', 'tighten', 'budget')]"
It has been rough,25.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  It has been rough,25-34,[]
It will be very difficult for my family to recover from this without some assistance.,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance. ,45-54,"[('difficult', 'family', 'recover'), ('family', 'recover', 'without'), ('recover', 'without', 'assistance')]"
If |had more | could have paid off my summer class,20.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  If |had more | could have paid off my summer class ,18-24,"[('could', 'paid', 'summer'), ('paid', 'summer', 'class')]"
Unable to assist adult children as much,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Unable to assist adult children as much,65+,"[('unable', 'assist', 'adult'), ('assist', 'adult', 'children'), ('adult', 'children', 'much')]"
Scary to see if | have money to pay my bills,62.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Scary to see if | have money to pay my bills,55-64,"[('scary', 'see', 'money'), ('see', 'money', 'pay'), ('money', 'pay', 'bills')]"
My son lives at home and lost his job which lowers our income,39.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income ,35-44,"[('son', 'lives', 'home'), ('lives', 'home', 'lost'), ('home', 'lost', 'job'), ('lost', 'job', 'lowers'), ('job', 'lowers', 'income')]"
