response,age,income,response_pt_2,age_range,tokens
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,makes
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,harder
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,buy
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,food
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,pay
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,bills
can't go to store when i need too,57.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  can't go to store when i need too,55-64,store
can't go to store when i need too,57.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  can't go to store when i need too,55-64,need
It is very stressful and | hope to get more to help pay for bills and food to survive,66.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is very stressful and | hope to get more to help pay for bills and food to survive ,65+,stressful
It is very stressful and | hope to get more to help pay for bills and food to survive,66.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is very stressful and | hope to get more to help pay for bills and food to survive ,65+,hope
It is very stressful and | hope to get more to help pay for bills and food to survive,66.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is very stressful and | hope to get more to help pay for bills and food to survive ,65+,help
It is very stressful and | hope to get more to help pay for bills and food to survive,66.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is very stressful and | hope to get more to help pay for bills and food to survive ,65+,pay
It is very stressful and | hope to get more to help pay for bills and food to survive,66.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is very stressful and | hope to get more to help pay for bills and food to survive ,65+,bills
It is very stressful and | hope to get more to help pay for bills and food to survive,66.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is very stressful and | hope to get more to help pay for bills and food to survive ,65+,food
It is very stressful and | hope to get more to help pay for bills and food to survive,66.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is very stressful and | hope to get more to help pay for bills and food to survive ,65+,survive
Need to have more stimulus payments,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Need to have more stimulus payments,55-64,need
Need to have more stimulus payments,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Need to have more stimulus payments,55-64,stimulus
Need to have more stimulus payments,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Need to have more stimulus payments,55-64,payments
No food,20.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  No food,18-24,food
Horribly not able to pay my stuff,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Horribly not able to pay my stuff,18-24,horribly
Horribly not able to pay my stuff,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Horribly not able to pay my stuff,18-24,able
Horribly not able to pay my stuff,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Horribly not able to pay my stuff,18-24,pay
Horribly not able to pay my stuff,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Horribly not able to pay my stuff,18-24,stuff
I've since lost my home and I have to live with my daughter now,54.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I've since lost my home and I have to live with my daughter now ,45-54,lost
I've since lost my home and I have to live with my daughter now,54.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I've since lost my home and I have to live with my daughter now ,45-54,home
I've since lost my home and I have to live with my daughter now,54.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I've since lost my home and I have to live with my daughter now ,45-54,live
I've since lost my home and I have to live with my daughter now,54.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I've since lost my home and I have to live with my daughter now ,45-54,daughter
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,lam
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,currently
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,employed
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,partner
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,stays
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,home
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,3
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,year
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,old
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,daughter
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,half
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,income
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,extra
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,$
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,600
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,unemployment
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,ended
Struggling to pay all the bills,34.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Struggling to pay all the bills,25-34,struggling
Struggling to pay all the bills,34.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Struggling to pay all the bills,25-34,pay
Struggling to pay all the bills,34.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Struggling to pay all the bills,25-34,bills
Made it harder to spend money,44.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Made it harder to spend money,35-44,harder
Made it harder to spend money,44.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Made it harder to spend money,35-44,spend
Made it harder to spend money,44.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Made it harder to spend money,35-44,money
Less food and high bills to pay,43.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Less food and high bills to pay,35-44,food
Less food and high bills to pay,43.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Less food and high bills to pay,35-44,high
Less food and high bills to pay,43.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Less food and high bills to pay,35-44,bills
Less food and high bills to pay,43.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Less food and high bills to pay,35-44,pay
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,paying
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,bills
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,difficult
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,ends
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,meet
I can not pay my bills,34.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I can not pay my bills,25-34,pay
I can not pay my bills,34.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I can not pay my bills,25-34,bills
we are struggling to purchase groceries as the prices have risen,63.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  we are struggling to purchase groceries as the prices have risen ,55-64,struggling
we are struggling to purchase groceries as the prices have risen,63.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  we are struggling to purchase groceries as the prices have risen ,55-64,purchase
we are struggling to purchase groceries as the prices have risen,63.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  we are struggling to purchase groceries as the prices have risen ,55-64,groceries
we are struggling to purchase groceries as the prices have risen,63.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  we are struggling to purchase groceries as the prices have risen ,55-64,prices
we are struggling to purchase groceries as the prices have risen,63.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  we are struggling to purchase groceries as the prices have risen ,55-64,risen
a lot. Cut hours loss in wages it adds up,36.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up,35-44,lot
a lot. Cut hours loss in wages it adds up,36.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up,35-44,cut
a lot. Cut hours loss in wages it adds up,36.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up,35-44,hours
a lot. Cut hours loss in wages it adds up,36.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up,35-44,loss
a lot. Cut hours loss in wages it adds up,36.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up,35-44,wages
a lot. Cut hours loss in wages it adds up,36.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up,35-44,adds
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,spending
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,canceled
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,vacation
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,going
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,eat
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,stress
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,day
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,life
Broke,23.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  Broke,18-24,broke
Terribly miserable,25.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Terribly miserable,25-34,terribly
Terribly miserable,25.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Terribly miserable,25-34,miserable
Going into greater debt. Fear of homelessness.,33.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Going into greater debt. Fear of homelessness. ,25-34,going
Going into greater debt. Fear of homelessness.,33.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Going into greater debt. Fear of homelessness. ,25-34,greater
Going into greater debt. Fear of homelessness.,33.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Going into greater debt. Fear of homelessness. ,25-34,debt
Going into greater debt. Fear of homelessness.,33.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Going into greater debt. Fear of homelessness. ,25-34,fear
Going into greater debt. Fear of homelessness.,33.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Going into greater debt. Fear of homelessness. ,25-34,homelessness
It will be very difficult for my family to recover from this without some assistance.,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance. ,45-54,difficult
It will be very difficult for my family to recover from this without some assistance.,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance. ,45-54,family
It will be very difficult for my family to recover from this without some assistance.,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance. ,45-54,recover
It will be very difficult for my family to recover from this without some assistance.,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance. ,45-54,assistance
late on paying bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  late on paying bills,25-34,late
late on paying bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  late on paying bills,25-34,paying
late on paying bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  late on paying bills,25-34,bills
Hurts very bad,35.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Hurts very bad,35-44,hurts
Hurts very bad,35.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Hurts very bad,35-44,bad
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,challenge
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,meet
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,monthly
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,bills
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,spending
