0
"How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time  Age: 59, Income: Under $25,000  This person is represented by Ann Wagner (R, MO-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I'm fine, and hoping for the second one Age: 42, Income: $25,000 - $50,000  This person is represented by Rick W. Allen (R, GA-12), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive  Age: 68, Income: $50,001 - $75,000  This person is represented by Raul Ruiz (D, CA- 36), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I’m not sure yet. I’m worried Age: 30, Income: Under $25,000  This person is represented by French Hill (R, AR- 02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has been rough and I want everything back to normal  Age: 22, Income: $25,000 - $50,000  This person is represented by Ron Estes (R, KS- 04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income  Age: 39, Income: Under $25,000  This person is represented by John Bergman (R, MI-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  its rough to pay bills Age: 46, Income: $75,001 - $100,000  This person is represented by Bob Gibbs (R, OH- 07), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made me anxious. Age: 65, Income: $25,000 - $50,000  This person is represented by Hank Johnson (D, GA-04), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Will be tougher to pay bills Age: 62, Income: $100,001 - $150,000  This person is represented by Barbara Lee (D, CA-13), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills. Age: 76, Income: $25,000 - $50,000  This person is represented by William Steube (R, FL-17), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  can't go to store when i need too Age: 57, Income: Under $25,000  This person is represented by Martha Roby (R, AL-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It is very stressful and | hope to get more to help pay for bills and food to survive  Age: 66, Income: Under $25,000  This person is represented by Ruben Gallego (D, AZ-07), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Need to have more stimulus payments Age: 64, Income: $25,000 - $50,000  This person is represented by Ron Kind (D, WI- 03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  No food Age: 20, Income: $50,001 - $75,000  This person is represented by Anthony Brindisi (D, NY-22), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Horribly not able to pay my stuff Age: 24, Income: $25,000 - $50,000  This person is represented by Raul Ruiz (D, CA- 36), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I've since lost my home and I have to live with my daughter now  Age: 54, Income: Under $25,000  This person is represented by Ruben Gallego (D, AZ-07), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended     Age: 24, Income: $50,001 - $75,000  This person is represented by Ilhan Omar (D, MN- 05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Struggling to pay all the bills Age: 34, Income: $50,001 - $75,000  This person is represented by David Joyce (R, OH- 14), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Made it harder to spend money Age: 44, Income: $50,001 - $75,000  This person is represented by Bennie Thompson (D, MS-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Less food and high bills to pay Age: 43, Income: Under $25,000  This person is represented by Rick Crawford (R, ‘AR-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet  Age: 24, Income: $25,000 - $50,000  This person is represented by Steve Womack (R, ‘AR-03), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I can not pay my bills Age: 34, Income: $25,000 - $50,000  This person is represented by Theodore Paul Budd (R, NC-13), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  we are struggling to purchase groceries as the prices have risen  Age: 63, Income: $50,001 - $75,000  This person is represented by Kendra Horn (D, OK-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up Age: 36, Income: $25,000 - $50,000  This person is represented by John Henry Rutherford (R, FL-04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life.  Age: 72, Income: $100,001 - $150,000  This person is represented by Richard Hudson (R, NC-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Broke Age: 23, Income: $75,001 - $100,000  This person is represented by Stephen Cohen (D, TN-09), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Terribly miserable Age: 25, Income: Under $25,000  This person is represented by John R. Curtis (R, UT-03), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Going into greater debt. Fear of homelessness.  Age: 33, Income: $25,000 - $50,000  This person is represented by Anthony Brindisi (D, NY-22), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance.  Age: 48, Income: $25,000 - $50,000  This person is represented by Filemon Vela (D, TX-34), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  late on paying bills Age: 26, Income: $75,001 - $100,000  This person is represented by Andrew S. Biggs (R, ‘AZ-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Hurts very bad Age: 35, Income: $50,001 - $75,000  This person is represented by Sanford Dixon Bishop (D, GA-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills.  Age: 74, Income: Under $25,000  This person is represented by Donald J. Bacon (R, NE-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life.  Age: 72, Income: $100,001 - $150,000  This person is represented by Richard Hudson (R, NC-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right Age: 61, Income: Under $25,000  This person is represented by Denny Heck (D, WA-10), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I have a significant loss in income Age: 40, Income: More than $150,000  This person is represented by Ralph Norman (R, SC-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My financial situation is not good and i live one disability check to the next monthi check each & every montb not knowing if ill have enough money for bills & food. J pray we get another stimulus check ; especially since i spent what little i had on extra food and supplies due to the corona virus.            Age: 62, Income: $25,000 - $50,000  This person is represented by Michael Waltz (R, FL-06), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I have had to eliminate all non-essential spending to hopefully stretch my current savings long enough to find a new job.  Age: 43, Income: $25,000 - $50,000  This person is represented by Marcia L. Fudge (D, OH-11), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I can not pay my bills Age: 34, Income: $25,000 - $50,000  This person is represented by Theodore Paul Budd (R, NC-13), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Less money Age: 53, Income: $50,001 - $75,000  This person is represented by Thomas W. II Reed (R, NY-23), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We cant fix our house or car Age: 27, Income: $25,000 - $50,000  This person is represented by Elissa Slotkin (D, MI-08), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My bills are going unpaid Age: 33, Income: $25,000 - $50,000  This person is represented by Ross Spano (R, FL- 15), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It’s making things pretty tight. Hopefully there will be some relief  Age: 69, Income: $50,001 - $75,000  This person is represented by David Mckinley (R, WV-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  stress with bill payments Age: 55, Income: $50,001 - $75,000  This person is represented by Marc Veasey (D, TX-33), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Very difficult Age: 56, Income: $25,000 - $50,000  This person is represented by Joseph Albert Ill Hollingsworth (R, IN-09), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time  Age: 59, Income: Under $25,000  This person is represented by Ann Wagner (R, MO-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Very difficult Age: 56, Income: $25,000 - $50,000  This person is represented by Joseph Albert Ill Hollingsworth (R, IN-09), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1am depleting my savings. Age: 51, Income: Under $25,000  This person is represented by Ted Yoho (R, FL-03), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  it's been a budgeting nightmare & struggling to make ends meet & job hours have been substantially cut  Age: 55, Income: Under $25,000  This person is represented by Ted Deutch (D, FL- 22), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?     We are on disability and are having a hard time making ends meet. We have to choose between food and medication. We had paid for strawberry money into our morgagate escrow account to have money for our taxes and they took that money out and paid it on something else. We are struggling to buy food, medication and pay bills. We are hoping an extra stimulus check can help get us on our feet.  Age: 51, Income: $25,000 - $50,000  This person is represented by Bruce Eugene Westerman (R, AR-04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has been very tight for us Age: 35, Income: $50,001 - $75,000  This person is represented by Andy Barr (R, KY- 06), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance.  Age: 48, Income: $25,000 - $50,000  This person is represented by Filemon Vela (D, TX-34), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Hurts when shopping for groceries as prises are high  Age: 61, Income: Under $25,000  This person is represented by Lisa Blunt Rochester (D, DE-01), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Negatively as my bills and cost of living have increased during the pandemic.     Age: 58, Income: $75,001 - $100,000  This person is represented by Angela Craig (D, MN-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  stressful Age: 42, Income: More than $150,000  This person is represented by Joyce Beatty (D, OH-03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made me anxious. Age: 65, Income: $25,000 - $50,000  This person is represented by Hank Johnson (D, GA-04), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Hurts very bad Age: 35, Income: $50,001 - $75,000  This person is represented by Sanford Dixon Bishop (D, GA-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?     I haven't qualified for unemployment but still lost my job so I've been relying on gig work from home and the first stimulus payment to pay the bills and now I'm sitting here watching our elected officials bicker about how much money to give people like me but not actually helping us. They can fight over how much money the people should get but we're not getting anything the whole time they're bickering. Other countries are giving their citizens thousands a month and we can't even get a second stimulus payment. Our country looks like a joke to the rest of the world.     Age: 28, Income: $25,000 - $50,000  This person is represented by Abby Finkenauer (D, 14-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Its hurt my financials Age: 44, Income: $50,001 - $75,000  This person is represented by Andrew S. Biggs (R, ‘AZ-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1 am not beyond wondering why Im still alive.  Age: 48, Income: Under $25,000  This person is represented by Matthew L. II Gaetz (R, FL-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  stress with bill payments Age: 55, Income: $50,001 - $75,000  This person is represented by Marc Veasey (D, TX-33), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Broke af Age: 31, Income: $25,000 - $50,000  This person is represented by Kevin Patrick Brady (R, TX-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I’m super behind on bills Age: 26, Income: $75,001 - $100,000  This person is represented by Andrew S. Biggs (R, ‘AZ-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Im struggling to pay my bills Age: 40, Income: $25,000 - $50,000  This person is represented by Veronica Escobar (D, TX-16), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet. Age: 40, Income: Under $25,000  This person is represented by Theodore Paul Budd (R, NC-13), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Could use it because husband had heart attack and isn't working  Age: 65, Income: $25,000 - $50,000  This person is represented by Mark Pocan (D, WI- 02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has been very tight for us Age: 35, Income: $50,001 - $75,000  This person is represented by Andy Barr (R, KY- 06), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Im spending alot less and eating cheaper food  Age: 25, Income: $25,000 - $50,000  This person is represented by Vernon G. Buchanan (R, FL-16), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I'm going to be evicted Age: 39, Income: $50,001 - $75,000  This person is represented by Susie Lee (D, NV- 03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  The budget is just tight Age: 44, Income: $25,000 - $50,000  This person is represented by Alfred Jr. Lawson (D, FL-05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find  Age: 58, Income: $25,000 - $50,000  This person is represented by Debbie Dingell (D, MI-12), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
